network_code,receiver_code,receiver_type,receiver_latitude,receiver_longitude,receiver_elevation_m,p_arrival_sample,p_status,p_weight,p_travel_sec,s_arrival_sample,s_status,s_weight,source_id,source_origin_time,source_origin_uncertainty_sec,source_latitude,source_longitude,source_error_sec,source_gap_deg,source_horizontal_uncertainty_km,source_depth_km,source_depth_uncertainty_km,source_magnitude,source_magnitude_type,source_magnitude_author,source_mechanism_strike_dip_rake,source_distance_deg,source_distance_km,back_azimuth_deg,snr_db,coda_end_sample,trace_start_time,trace_category,trace_name
PB,B081,HH,33.711167,-116.714167,1467,900,manual,0.6,5.050000191,1262,manual,0.6,ci37118967,10:45.1,None,33.47133,-116.56883,None,None,None,7.49,None,0.33,ml,None,None,0.2682,29.83,153.3,11.30000019,[[1755.]],10:41.2,earthquake_local,B081.PB_20150313111040_EV
PB,B081,HH,33.711167,-116.714167,1467,500,manual,0.6,4.989999771,863,manual,0.6,ci37129276,41:43.7,None,33.473,-116.56733,None,None,None,7.01,None,0.35,ml,None,None,0.2673,29.73,152.9,16.10000038,[[1377.]],41:43.7,earthquake_local,B081.PB_20150321054142_EV
PB,B084,HH,33.61157,-116.45637,1271,400,manual,0.6,4.820000172,730,manual,0.6,ci37147351,36:18.3,None,33.67067,-116.71383,None,None,None,15.83,None,0.82,ml,None,None,0.2227,24.77,285.3,19.39999962,[[1318.]],36:19.1,earthquake_local,B084.PB_20150417193618_EV
PB,B081,HH,33.711167,-116.714167,1467,499,autopicker,0.93,4.980000019,861,autopicker,0.89,ci37147647,57:29.3,None,33.47167,-116.57167,None,None,None,7.54,None,1.12,ml,None,None,0.2668,29.67,153.7,34.5,[[1319.]],57:29.3,earthquake_local,B081.PB_20150418095728_EV
PB,B081,HH,33.711167,-116.714167,1467,894,autopicker,0.87,8.289999962,1504,autopicker,0.82,ci37148335,54:07.2,None,33.88017,-116.20283,None,None,None,8.79,None,1.11,ml,None,None,0.458,50.93,68.5,23.20000076,[[2359.]],54:06.5,earthquake_local,B081.PB_20150420005405_EV
PB,B084,HH,33.61157,-116.45637,1271,797,autopicker,0.92,5.630000114,1200,autopicker,0.86,ci37148447,29:19.6,None,33.58083,-116.815,None,None,None,9.28,None,1.03,ml,None,None,0.3009,33.46,264,21.60000038,[[1893.]],29:17.2,earthquake_local,B084.PB_20150420042916_EV
PB,B081,HH,33.711167,-116.714167,1467,900,manual,0.6,5.079999924,1263,manual,0.6,ci37148815,57:31.7,None,33.46817,-116.60417,None,None,None,11.25,None,1.07,ml,None,None,0.2592,28.82,159.4,23.60000038,[[2012.]],57:27.7,earthquake_local,B081.PB_20150420185726_EV
PB,B084,HH,33.61157,-116.45637,1271,793,autopicker,0.8,13.5,1780,autopicker,0.69,ci37149175,16:19.7,None,34.1795,-117.04267,None,None,None,5.56,None,1.38,ml,None,None,0.7466,83.12,319.3,22.79999924,[[2743.]],16:25.3,earthquake_local,B084.PB_20150421081624_EV
PB,B084,HH,33.61157,-116.45637,1271,500,manual,0.6,3.470000029,752,manual,0.6,ci37149367,05:47.6,None,33.5945,-116.631,None,None,None,14.04,None,0.76,ml,None,None,0.1467,16.32,263.3,25.70000076,[[1213.]],05:46.1,earthquake_local,B084.PB_20150421140545_EV
PB,B917,EH,35.4053,-117.2588,1192,700,manual,0.61,10.81999969,1492,manual,0.56,ci37164759,38:56.6,None,35.85483,-117.68317,None,None,None,2.64,None,0.98,ml,None,None,0.5663,62.97,322.4,20.29999924,[[2279.]],39:00.4,earthquake_local,B917.PB_20150519053859_EV
