network_code,receiver_code,receiver_type,receiver_latitude,receiver_longitude,receiver_elevation_m,p_arrival_sample,p_status,p_weight,p_travel_sec,s_arrival_sample,s_status,s_weight,source_id,source_origin_time,source_origin_uncertainty_sec,source_latitude,source_longitude,source_error_sec,source_gap_deg,source_horizontal_uncertainty_km,source_depth_km,source_depth_uncertainty_km,source_magnitude,source_magnitude_type,source_magnitude_author,source_mechanism_strike_dip_rake,source_distance_deg,source_distance_km,back_azimuth_deg,snr_db,coda_end_sample,trace_start_time,trace_category,trace_name
PB,B082,HH,33.598182,-116.596005,1374.8,798,autopicker,0.93,2.660000086,994,autopicker,0.86,ci37118967,10:45.1,None,33.47133,-116.56883,None,None,None,7.49,None,0.33,ml,None,None,0.1285,14.29,169.9,14.80000019,[[1488.]],10:39.8,earthquake_local,B082.PB_20150313111038_EV
PB,B082,HH,33.598182,-116.596005,1374.8,900,manual,0.6,2.599999905,1092,manual,0.6,ci37129276,41:43.7,None,33.473,-116.56733,None,None,None,7.01,None,0.35,ml,None,None,0.1271,14.14,169.2,12.30000019,[[1574.]],41:37.3,earthquake_local,B082.PB_20150321054136_EV
PB,B082,HH,33.598182,-116.596005,1374.8,800,manual,0.64,3.430000067,1037,manual,0.6,ci37147351,36:18.3,None,33.67067,-116.71383,None,None,None,15.83,None,0.82,ml,None,None,0.122,13.57,306.4,21.29999924,[[1457.]],36:13.8,earthquake_local,B082.PB_20150417193612_EV
PB,B082,HH,33.598182,-116.596005,1374.8,899,autopicker,0.94,2.589999914,1099,autopicker,0.82,ci37147647,57:29.3,None,33.47167,-116.57167,None,None,None,7.54,None,1.12,ml,None,None,0.1278,14.21,170.9,29.20000076,[[1610.]],57:22.9,earthquake_local,B082.PB_20150418095721_EV
PB,B086,HH,33.5575,-116.531,1392,698,autopicker,0.93,7.690000057,1257,autopicker,0.75,ci37148335,54:07.2,None,33.88017,-116.20283,None,None,None,8.79,None,1.11,ml,None,None,0.4224,46.97,40.3,22.60000038,[[2031.]],54:07.9,earthquake_local,B086.PB_20150420005406_EV
PB,B082,HH,33.598182,-116.596005,1374.8,799,autopicker,0.94,3.640000105,1060,autopicker,0.89,ci37148447,29:19.6,None,33.58083,-116.815,None,None,None,9.28,None,1.03,ml,None,None,0.1836,20.42,264.5,30.60000038,[[1544.]],29:15.2,earthquake_local,B082.PB_20150420042914_EV
PB,B082,HH,33.598182,-116.596005,1374.8,900,manual,0.6,3.049999952,1115,manual,0.6,ci37148815,57:31.7,None,33.46817,-116.60417,None,None,None,11.25,None,1.07,ml,None,None,0.1299,14.44,183,27.79999924,[[1611.]],57:25.7,earthquake_local,B082.PB_20150420185724_EV
PB,B082,HH,33.598182,-116.596005,1374.8,893,autopicker,0.89,12.34000015,1792,autopicker,0.75,ci37149175,16:19.7,None,34.1795,-117.04267,None,None,None,5.56,None,1.38,ml,None,None,0.6879,76.58,327.4,23.39999962,[[2707.]],16:23.1,earthquake_local,B082.PB_20150421081622_EV
PB,B086,HH,33.5575,-116.531,1392,600,manual,0.6,2.829999924,795,manual,0.6,ci37149367,05:47.6,None,33.5945,-116.631,None,None,None,14.04,None,0.76,ml,None,None,0.09128,10.15,293.9,24.89999962,[[1248.]],05:44.5,earthquake_local,B086.PB_20150421140543_EV
PB,B916,EH,36.1925,-117.6685,1859.9,500,manual,0.61,6.46999979,996,manual,0.56,ci37164759,38:56.6,None,35.85483,-117.68317,None,None,None,2.64,None,0.98,ml,None,None,0.3372,37.49,182,24.89999962,[[1741.]],38:58.1,earthquake_local,B916.PB_20150519053857_EV
